code,description,type,parent,is_billable,icd9_equiv
F11.0,Intossicazione acuta dovuta all’uso di oppioidi,cat 4,F11,1,292.2
F11.1,Uso dannoso di oppioidi,cat 4,F11,0,ND
F11.10,"Uso dannoso di oppioidi, in atto",cat 5,F11.1,1,305.51
F11.11,"Uso dannoso di oppioidi, in remissione",cat 5,F11.1,1,305.53
F11.19,"Uso dannoso di oppioidi, non specificato",cat 5,F11.1,1,305.50
F11.2,Sindrome da dipendenza dovuta all’uso di oppioidi,cat 4,F11,0,ND
F11.20,"Sindrome da dipendenza dovuta all’uso di oppioidi, in atto",cat 5,F11.2,1,304.01
F11.21,"Sindrome da dipendenza dovuta all’uso di oppioidi, in remissione",cat 5,F11.2,1,304.03
F11.29,"Sindrome da dipendenza dovuta all’uso di oppioidi, non specificata",cat 5,F11.2,1,304.00
F11.3,Stato di astinenza dovuto all’uso di oppioidi,cat 4,F11,1,292.0
F11.4,Stato di astinenza con delirium dovuto all’uso di oppioidi,cat 4,F11,1,292.0
F11.5,Disturbo psicotico dovuto all’uso di oppioidi,cat 4,F11,1,292.11
F11.6,Sindrome amnesica dovuta all’uso di oppioidi,cat 4,F11,1,292.83
F11.7,Disturbo psicotico residuo o a esordio tardivo dovuto all’uso di oppioidi,cat 4,F11,1,292.11
F11.8,Altri disturbi dovuti all’uso di oppioidi,cat 4,F11,1,292.84
F11.9,Disturbo non specificato dovuto all’uso di oppioidi,cat 4,F11,1,292.9
F12,Disturbi mentali e comportamentali dovuti all’uso di cannabinoidi,cat 3,F10-F19,0,ND
F12.0,Intossicazione acuta dovuta all’uso di cannabinoidi,cat 4,F12,1,292.2
F12.1,Uso dannoso di cannabinoidi,cat 4,F12,0,ND
F12.10,"Uso dannoso di cannabinoidi, in atto",cat 5,F12.1,1,305.21
F12.11,"Uso dannoso di cannabinoidi, in remissione",cat 5,F12.1,1,305.23
F12.19,"Uso dannoso di cannabinoidi, non specificato",cat 5,F12.1,1,305.20
F12.2,Sindrome da dipendenza dovuta all’uso di cannabinoidi,cat 4,F12,0,ND
F12.20,"Sindrome da dipendenza dovuta all’uso di cannabinoidi, in atto",cat 5,F12.2,1,304.31
F12.21,"Sindrome da dipendenza dovuta all’uso di cannabinoidi, in remissione",cat 5,F12.2,1,304.33
F12.29,"Sindrome da dipendenza dovuta all’uso di cannabinoidi, non specificata",cat 5,F12.2,1,304.30
F12.3,Stato di astinenza dovuto all’uso di cannabinoidi,cat 4,F12,1,292.0
F12.4,Stato di astinenza con delirium dovuto all’uso di cannabinoidi,cat 4,F12,1,292.0
F12.5,Disturbo psicotico dovuto all’uso di cannabinoidi,cat 4,F12,1,292.11
F12.6,Sindrome amnesica dovuta all’uso di cannabinoidi,cat 4,F12,1,292.83
F12.7,Disturbo psicotico residuo o a esordio tardivo dovuto all’uso di cannabinoidi,cat 4,F12,1,292.11
F12.8,Altri disturbi dovuti all’uso di cannabinoidi,cat 4,F12,1,292.84
F12.9,Disturbo non specificato dovuto all’uso di cannabinoidi,cat 4,F12,1,292.9
F13,Disturbi mentali e comportamentali dovuti all’uso di sedativi o ipnotici,cat 3,F10-F19,0,ND
F13.0,Intossicazione acuta dovuta all’uso di sedativi o ipnotici,cat 4,F13,1,292.2
F13.1,Uso dannoso di sedativi o ipnotici,cat 4,F13,0,ND
F13.10,"Uso dannoso di sedativi o ipnotici, in atto",cat 5,F13.1,1,305.41
F13.11,"Uso dannoso di sedativi o ipnotici, in remissione",cat 5,F13.1,1,305.43
F13.19,"Uso dannoso di sedativi o ipnotici, non specificato",cat 5,F13.1,1,305.40
F13.2,Sindrome da dipendenza dovuta all’uso di sedativi o ipnotici,cat 4,F13,0,ND
F13.20,"Sindrome da dipendenza dovuta all’uso di sedativi o ipnotici, in atto",cat 5,F13.2,1,304.11
F13.21,"Sindrome da dipendenza dovuta all’uso di sedativi o ipnotici, in remissione",cat 5,F13.2,1,304.13
F13.29,"Sindrome da dipendenza dovuta all’uso di sedativi o ipnotici, non specificata",cat 5,F13.2,1,304.10
F13.3,Stato di astinenza dovuto all’uso di sedativi o ipnotici,cat 4,F13,1,292.0
F13.4,Stato di astinenza con delirium dovuto all’uso di sedativi o ipnotici,cat 4,F13,1,292.0
F13.5,Disturbo psicotico dovuto all’uso di sedativi o ipnotici,cat 4,F13,1,292.11
F13.6,Sindrome amnesica dovuta all’uso di sedativi o ipnotici,cat 4,F13,1,292.83
F13.7,Disturbo psicotico residuo o a esordio tardivo dovuto all’uso di sedativi o ipnotici,cat 4,F13,1,292.11
F13.8,Altri disturbi dovuti all’uso di sedativi o ipnotici,cat 4,F13,1,292.84
F13.9,Disturbo non specificato dovuto all’uso di sedativi o ipnotici,cat 4,F13,1,292.9
F14,Disturbi mentali e comportamentali dovuti all’uso di cocaina,cat 3,F10-F19,0,ND
F14.0,Intossicazione acuta dovuta all’uso di cocaina,cat 4,F14,1,292.89
F14.1,Uso dannoso di cocaina,cat 4,F14,0,ND
F14.10,"Uso dannoso di cocaina, in atto",cat 5,F14.1,1,305.61
F14.11,"Uso dannoso di cocaina, in remissione",cat 5,F14.1,1,305.63
F14.19,"Uso dannoso di cocaina, non specificato",cat 5,F14.1,1,305.60
F14.2,Sindrome da dipendenza dovuta all’uso di cocaina,cat 4,F14,0,ND
F14.20,"Sindrome da dipendenza dovuta all’uso di cocaina, in atto",cat 5,F14.2,1,304.21
F14.21,"Sindrome da dipendenza dovuta all’uso di cocaina, in remissione",cat 5,F14.2,1,304.23
F14.29,"Sindrome da dipendenza dovuta all’uso di cocaina, non specificata",cat 5,F14.2,1,304.20
F14.3,Stato di astinenza dovuto all’uso di cocaina,cat 4,F14,1,292.0
F14.4,Stato di astinenza con delirium dovuto all’uso di cocaina,cat 4,F14,1,292.0
F14.5,Disturbo psicotico dovuto all’uso di cocaina,cat 4,F14,1,292.11
F14.6,Sindrome amnesica dovuta all’uso di cocaina,cat 4,F14,1,292.83
F14.7,Disturbo psicotico residuo o a esordio tardivo dovuto all’uso di cocaina,cat 4,F14,1,292.11
F14.8,Altri disturbi dovuti all’uso di cocaina,cat 4,F14,1,292.84
F14.9,Disturbo non specificato dovuto all’uso di cocaina,cat 4,F14,1,292.9
F15,"Disturbi mentali e comportamentali dovuti all’uso di altri stimolanti, inclusa la caffeina",cat 3,F10-F19,0,ND
F15.0,"Intossicazione acuta dovuta all’uso di altri stimolanti, inclusa la caffeina",cat 4,F15,1,292.2
F15.1,"Uso dannoso di altri stimolanti, inclusa la caffeina",cat 4,F15,0,ND
F15.10,"Uso dannoso di altri stimolanti, inclusa la caffeina, in atto",cat 5,F15.1,1,305.71
F15.11,"Uso dannoso di altri stimolanti, inclusa la caffeina, in remissione",cat 5,F15.1,1,305.73
F15.19,"Uso dannoso di altri stimolanti, inclusa la caffeina, non specificato",cat 5,F15.1,1,305.70
F15.2,"Sindrome da dipendenza dovuta all’uso di altri stimolanti, inclusa la caffeina",cat 4,F15,0,ND
F15.20,"Sindrome da dipendenza dovuta all’uso di altri stimolanti, inclusa la caffeina, in atto",cat 5,F15.2,1,304.41
F15.21,"Sindrome da dipendenza dovuta all’uso di altri stimolanti, inclusa la caffeina, in remissione",cat 5,F15.2,1,304.43
F15.29,"Sindrome da dipendenza dovuta all’uso di altri stimolanti, inclusa la caffeina, non specificato",cat 5,F15.2,1,304.40
F15.3,"Stato di astinenza dovuto all’uso di altri stimolanti, inclusa la caffeina",cat 4,F15,1,292.0
F15.4,"Stato di astinenza con delirium dovuto all’uso di altri stimolanti, inclusa la caffeina",cat 4,F15,1,292.0
F15.5,"Disturbo psicotico dovuto all’uso di altri stimolanti, inclusa la caffeina",cat 4,F15,1,292.11
F15.6,"Sindrome amnesica dovuta all’uso di altri stimolanti, inclusa la caffeina",cat 4,F15,1,292.83
F15.7,"Disturbo psicotico residuo o a esordio tardivo dovuto all’uso di altri stimolanti, inclusa la caffeina",cat 4,F15,1,292.11
F15.8,"Altri disturbi dovuti all’uso di altri stimolanti, inclusa la caffeina",cat 4,F15,1,292.84
F15.9,"Disturbo non specificato dovuto all’uso di altri stimolanti, inclusa la caffeina",cat 4,F15,1,292.9
F16,Disturbi mentali e comportamentali dovuti all’uso di allucinogeni,cat 3,F10-F19,0,ND
F16.0,Intossicazione acuta dovuta all’uso di allucinogeni,cat 4,F16,1,292.81
F16.1,Uso dannoso di allucinogeni,cat 4,F16,0,ND
F16.10,"Uso dannoso di allucinogeni, in atto",cat 5,F16.1,1,305.31
F16.11,"Uso dannoso di allucinogeni, in remissione",cat 5,F16.1,1,305.33
F16.19,"Uso dannoso di allucinogeni, non specificato",cat 5,F16.1,1,305.30
F16.2,Sindrome da dipendenza dovuta all’uso di allucinogeni,cat 4,F16,0,ND
F16.20,"Sindrome da dipendenza dovuta all’uso di allucinogeni, in atto",cat 5,F16.2,1,304.51
F16.21,"Sindrome da dipendenza dovuta all’uso di allucinogeni, in remissione",cat 5,F16.2,1,304.53
F16.29,"Sindrome da dipendenza dovuta all’uso di allucinogeni, non specificata",cat 5,F16.2,1,304.50
F16.3,Stato di astinenza dovuto all’uso di allucinogeni,cat 4,F16,1,292.0
F16.4,Stato di astinenza con delirium dovuto all’uso di allucinogeni,cat 4,F16,1,292.0
F16.5,Disturbo psicotico dovuto all’uso di allucinogeni,cat 4,F16,1,292.11
F16.6,Sindrome amnesica dovuta all’uso di allucinogeni,cat 4,F16,1,292.83
F16.7,Disturbo psicotico residuo o a esordio tardivo dovuto all’uso di allucinogeni,cat 4,F16,1,292.11
F16.8,Altri disturbi dovuti all’uso di allucinogeni,cat 4,F16,1,292.84
F16.9,Disturbo non specificato dovuto all’uso di allucinogeni,cat 4,F16,1,292.9
F17,Disturbi mentali e comportamentali dovuti all’uso di tabacco,cat 3,F10-F19,1,305.1
F18,Disturbi mentali e comportamentali dovuti all’uso di solventi volatili,cat 3,F10-F19,0,ND
F18.0,Intossicazione acuta dovuta all’uso di solventi volatili,cat 4,F18,1,292.2
F18.1,Uso dannoso di solventi volatili,cat 4,F18,0,ND
F18.10,"Uso dannoso di solventi volatili, in atto",cat 5,F18.1,1,305.91
F18.11,"Uso dannoso di solventi volatili, in remissione",cat 5,F18.1,1,305.93
F18.19,"Uso dannoso di solventi volatili, non specificato",cat 5,F18.1,1,305.90
F18.2,Sindrome da dipendenza dovuta all’uso di solventi volatili,cat 4,F18,0,ND
F18.20,"Sindrome da dipendenza dovuta all’uso di solventi volatili, in atto",cat 5,F18.2,1,304.61
F18.21,"Sindrome da dipendenza dovuta all’uso di solventi volatili, in remissione",cat 5,F18.2,1,304.63
F18.29,"Sindrome da dipendenza dovuta all’uso di solventi volatili, non specificata",cat 5,F18.2,1,304.60
F18.3,Stato di astinenza dovuto all’uso di solventi volatili,cat 4,F18,1,292.0
F18.4,Stato di astinenza con delirium dovuto all’uso di solventi volatili,cat 4,F18,1,292.0
F18.5,Disturbo psicotico dovuto all’uso di solventi volatili,cat 4,F18,1,292.11
F18.6,Sindrome amnesica dovuta all’uso di solventi volatili,cat 4,F18,1,292.83
F18.7,Disturbo psicotico residuo o a esordio tardivo dovuto all’uso di solventi volatili,cat 4,F18,1,292.11
F18.8,Altri disturbi dovuti all’uso di solventi volatili,cat 4,F18,1,292.84
F18.9,Disturbo non specificato dovuto all’uso di solventi volatili,cat 4,F18,1,292.9
F19,Disturbi mentali e comportamentali dovuti all’uso di sostanze psicoattive multiple e di altre sostanze psicoattive,cat 3,F10-F19,0,ND
F19.0,Intossicazione acuta dovuta all’uso di sostanze psicoattive multiple e di altre sostanze psicoattive,cat 4,F19,1,292.89
F19.1,Uso dannoso di sostanze psicoattive multiple e di altre sostanze psicoattive,cat 4,F19,0,ND
F19.10,"Uso dannoso di sostanze psicoattive multiple e  di altre sostanze psicoattive, in atto",cat 5,F19.1,1,305.91
F19.11,"Uso dannoso di sostanze psicoattive multiple e di altre sostanze psicoattive, in remissione",cat 5,F19.1,1,305.93
F19.19,"Uso dannoso di sostanze psicoattive multiple e di altre sostanze psicoattive, non specificato",cat 5,F19.1,1,305.90
F19.2,Sindrome da dipendenza dovuta all’uso di sostanze psicoattive multiple e di altre sostanze psicoattive,cat 4,F19,0,ND
F19.20,"Sindrome da dipendenza dovuta all’uso di sostanze psicoattive multiple e di altre sostanze psicoattive, in atto",cat 5,F19.2,1,304.91
F19.21,"Sindrome da dipendenza dovuta all’uso di sostanze psicoattive multiple e all’uso di altre sostanze psicoattive, in remissione",cat 5,F19.2,1,304.93
F19.29,"Sindrome da dipendenza dovuta all’uso di sostanze psicoattive multiple e di altre sostanze psicoattive, non specificata",cat 5,F19.2,1,304.90
F19.3,Stato di astinenza dovuto all’uso di sostanze psicoattive multiple e di altre sostanze psicoattive,cat 4,F19,1,292.0
F19.4,Stato di astinenza con delirium dovuto all’uso di sostanze psicoattive multiple e di altre sostanze psicoattive,cat 4,F19,1,292.0
F19.5,Disturbo psicotico dovuto all’uso di sostanze psicoattive multiple e di altre sostanze psicoattive,cat 4,F19,1,292.11
F19.6,Sindrome amnesica dovuta all’uso di sostanze psicoattive multiple e di altre sostanze psicoattive,cat 4,F19,1,292.83
F19.7,Disturbo psicotico residuo o a esordio tardivo dovuto all’uso di sostanze psicoattive multiple e di altre sostanze psicoattive,cat 4,F19,1,292.11
F19.8,Altri disturbi dovuti all’uso di sostanze psicoattive multiple e di altre sostanze psicoattive,cat 4,F19,1,292.89
F19.9,Disturbo non specificato dovuto all’uso di sostanze psicoattive multiple e di altre sostanze psicoattive,cat 4,F19,1,292.9
F20-F29,"Schizofrenia, disturbo schizotipico e disturbi deliranti",block,V,0,ND
F20,Schizofrenia,cat 3,F20-F29,0,ND
F20.0,Schizofrenia paranoide,cat 4,F20,0,ND
F20.00,"Schizofrenia paranoide, in atto",cat 5,F20.0,1,295.32
F20.01,"Schizofrenia paranoide, in remissione",cat 5,F20.0,1,295.35
F20.09,"Schizofrenia paranoide, non specificata",cat 5,F20.0,1,295.30
F20.1,Schizofrenia ebefrenica,cat 4,F20,0,ND
F20.10,"Schizofrenia ebefrenica, in atto",cat 5,F20.1,1,295.12
F20.11,"Schizofrenia ebefrenica, in remissione",cat 5,F20.1,1,295.15
F20.19,"Schizofrenia ebefrenica, non specificata",cat 5,F20.1,1,295.10
F20.2,Schizofrenia catatonica,cat 4,F20,0,ND
F20.20,"Schizofrenia catatonica, in atto",cat 5,F20.2,1,295.22
F20.21,"Schizofrenia catatonica, in remissione",cat 5,F20.2,1,295.25
F20.29,"Schizofrenia catatonica, non specificata",cat 5,F20.2,1,295.20
F20.3,Schizofrenia indifferenziata,cat 4,F20,0,ND
F20.30,"Schizofrenia indifferenziata, in atto",cat 5,F20.3,1,295.92
F20.31,"Schizofrenia indifferenziata, in remissione",cat 5,F20.3,1,295.95
F20.39,"Schizofrenia indifferenziata, non specificata",cat 5,F20.3,1,295.90
F20.4,Depressione postschizofrenica,cat 4,F20,0,ND
F20.40,"Depressione postschizofrenica, in atto",cat 5,F20.4,1,295.82
F20.41,"Depressione postschizofrenica, in remissione",cat 5,F20.4,1,295.85
F20.49,"Depressione postschizofrenica, non specificata",cat 5,F20.4,1,295.80
F20.5,Schizofrenia residua,cat 4,F20,0,ND
F20.50,"Schizofrenia residua, in atto",cat 5,F20.5,1,295.62
F20.51,"Schizofrenia residua, in remissione",cat 5,F20.5,1,295.65
F20.59,"Schizofrenia residua, non specificata",cat 5,F20.5,1,295.60
F20.6,Schizofrenia simplex,cat 4,F20,0,ND
F20.60,"Schizofrenia simplex, in atto",cat 5,F20.6,1,295.02
F20.61,"Schizofrenia simplex, in remissione",cat 5,F20.6,1,295.05
F20.69,"Schizofrenia simplex, non specificata",cat 5,F20.6,1,295.00
F20.8,Altra schizofrenia,cat 4,F20,0,ND
F20.80,"Altra schizofrenia, in atto",cat 5,F20.8,1,295.82
F20.81,"Altra schizofrenia, in remissione",cat 5,F20.8,1,295.85
F20.89,"Altra schizofrenia, non specificata",cat 5,F20.8,1,295.80
F20.9,"Schizofrenia, non specificata",cat 4,F20,0,ND
F20.90,"Schizofrenia, non specificata, in atto",cat 5,F20.9,1,295.92
F20.91,"Schizofrenia, non specificata, in remissione",cat 5,F20.9,1,295.95
F20.99,"Schizofrenia, non specificata, S.A.I.",cat 5,F20.9,1,295.90
F21,Disturbo schizotipico,cat 3,F20-F29,0,ND
F21.0,"Disturbo schizotipico, in atto",cat 4,F21,1,295.95
F21.1,"Disturbo schizotipico, in remissione",cat 4,F21,1,295.90
F21.9,"Disturbo schizotipico, non specificato",cat 4,F21,1,295.52
F22,Disturbi deliranti persistenti,cat 3,F20-F29,0,ND
F22.0,Disturbo delirante,cat 4,F22,1,297.1
F22.8,Altri disturbi deliranti persistenti,cat 4,F22,1,297.8
F22.9,"Disturbo delirante persistente, non specificato",cat 4,F22,1,297.1
F23,Disturbi psicotici acuti e transitori,cat 3,F20-F29,0,ND
F23.0,Disturbo psicotico acuto polimorfo senza sintomi schizofrenici,cat 4,F23,1,298.3
F23.1,Disturbo psicotico acuto polimorfo con sintomi schizofrenici,cat 4,F23,1,298.3
F23.2,Disturbo psicotico acuto schizofreniforme,cat 4,F23,0,ND
F23.20,"Disturbo psicotico acuto schizofreniforme, in atto",cat 5,F23.2,1,295.42
F23.21,"Disturbo psicotico acuto schizofreniforme, in remissione",cat 5,F23.2,1,295.45
F23.29,"Disturbo psicotico acuto schizofreniforme, non specificato",cat 5,F23.2,1,295.40
F23.3,Altri disturbi psicotici acuti prevalentemente deliranti,cat 4,F23,1,298.3
F23.8,Altri disturbi psicotici acuti e transitori,cat 4,F23,1,298.8
F23.9,"Disturbo psicotico acuto e transitorio, non specificato",cat 4,F23,1,298.8
F24,Disturbo delirante indotto,cat 3,F20-F29,1,297.3
F25,Disturbi schizoaffettivi,cat 3,F20-F29,0,ND
F25.0,"Disturbo schizoaffettivo, tipo maniacale",cat 4,F25,1,295.73
F25.1,"Disturbo schizoaffettivo, tipo depressivo",cat 4,F25,1,295.73
F25.2,"Disturbo schizoaffettivo, tipo misto",cat 4,F25,1,295.73
F25.8,Altri disturbi schizoaffettivi,cat 4,F25,1,295.71
F25.9,"Disturbo schizoaffettivo, non specificato",cat 4,F25,0,ND
F25.90,"Disturbo schizoaffettivo, non specificato, in atto",cat 5,F25.9,1,295.72
F25.91,"Disturbo schizoaffettivo, non specificato, in remissione",cat 5,F25.9,1,295.75
F25.99,"Disturbo schizoaffettivo, non specificato, S.A.I.",cat 5,F25.9,1,295.70
F28,Altri disturbi psicotici non organici,cat 3,F20-F29,1,298.9
F29,"Psicosi non organica, non specificata",cat 3,F20-F29,1,298.9
F30-F39,Disturbi dell’umore [affettivi],block,V,0,ND
F30,Episodio maniacale,cat 3,F30-F39,0,ND
F30.0,Ipomania,cat 4,F30,0,ND
F30.00,"Ipomania, in atto",cat 5,F30.0,1,296.01
F30.01,"Ipomania, in remissione",cat 5,F30.0,1,296.05
F30.09,"Ipomania, non specificata",cat 5,F30.0,1,296.00
F30.1,Mania senza sintomi psicotici,cat 4,F30,0,ND
F30.10,"Mania senza sintomi psicotici, in atto",cat 5,F30.1,1,296.01
F30.11,"Mania senza sintomi psicotici, in remissione",cat 5,F30.1,1,296.05
F30.19,"Mania senza sintomi psicotici, non specificata",cat 5,F30.1,1,296.00
F30.2,Mania con sintomi psicotici,cat 4,F30,0,ND
F30.20,"Mania con sintomi psicotici, in atto",cat 5,F30.2,1,296.04
F30.21,"Mania con sintomi psicotici, in remissione",cat 5,F30.2,1,296.05
F30.29,"Mania con sintomi psicotici, non specificata",cat 5,F30.2,1,296.00
F30.8,Episodi maniacali di altro tipo,cat 4,F30,1,296.81
F30.9,"Episodio maniacale, non specificato",cat 4,F30,1,296.00
F31,Disturbo affettivo bipolare,cat 3,F30-F39,0,ND
F31.0,"Disturbo affettivo bipolare, episodio ipomaniacale in atto",cat 4,F31,1,296.41
F31.1,"Disturbo affettivo bipolare, episodio maniacale in atto",cat 4,F31,1,296.43
F31.2,"Disturbo affettivo bipolare, episodio maniacale con sintomi psicotici in atto",cat 4,F31,1,296.44
F31.3,"Disturbo affettivo bipolare, episodio depressivo lieve o di media gravità in atto",cat 4,F31,1,296.52
F31.4,"Disturbo affettivo bipolare, episodio depressivo grave senza sintomi psicotici in atto",cat 4,F31,1,296.53
F31.5,"Disturbo affettivo bipolare, episodio depressivo grave con sintomi psicotici in atto",cat 4,F31,1,296.54
F31.6,"Disturbo affettivo bipolare, episodio misto in atto",cat 4,F31,1,296.60
F31.7,Disturbo affettivo bipolare attualmente in remissione,cat 4,F31,1,296.65
F31.8,Disturbi affettivi bipolari di altro tipo,cat 4,F31,1,296.89
F31.9,"Disturbo affettivo bipolare, non specificato",cat 4,F31,1,296.80
F32,Episodio depressivo,cat 3,F30-F39,0,ND
F32.0,Episodio depressivo lieve,cat 4,F32,0,ND
F32.00,"Episodio depressivo lieve, in atto",cat 5,F32.0,1,296.21
F32.01,"Episodio depressivo lieve, in remissione",cat 5,F32.0,1,296.25
F32.09,"Episodio depressivo lieve, non specificato",cat 5,F32.0,1,296.20
F32.1,Episodio depressivo di media gravità,cat 4,F32,0,ND
F32.10,"Episodio depressivo di media gravità, in atto",cat 5,F32.1,1,296.22
F32.11,"Episodio depressivo di media gravità, in remissione",cat 5,F32.1,1,296.25
F32.19,"Episodio depressivo di media gravità, non specificato",cat 5,F32.1,1,296.20
F32.2,Episodio depressivo grave senza sintomi psicotici,cat 4,F32,0,ND
F32.20,"Episodio depressivo grave senza sintomi psicotici, in atto",cat 5,F32.2,1,296.23
F32.21,"Episodio depressivo grave senza sintomi psicotici, in remissione",cat 5,F32.2,1,296.25
F32.29,"Episodio depressivo grave senza sintomi psicotici, non specificato",cat 5,F32.2,1,296.20
F32.3,Episodio depressivo grave con sintomi psicotici,cat 4,F32,0,ND
F32.30,"Episodio depressivo grave con sintomi psicotici, in atto",cat 5,F32.3,1,296.24
F32.31,"Episodio depressivo grave con sintomi psicotici, in remissione",cat 5,F32.3,1,296.25
F32.39,"Episodio depressivo grave con sintomi psicotici, non specificato",cat 5,F32.3,1,296.20
F32.8,Episodi depressivi di altro tipo,cat 4,F32,1,296.82
F32.9,"Episodio depressivo, non specificato",cat 4,F32,1,296.20
F33,Disturbo depressivo ricorrente,cat 3,F30-F39,0,ND
F33.0,"Disturbo depressivo ricorrente, episodio lieve in atto",cat 4,F33,1,296.31
F33.1,"Disturbo depressivo ricorrente, episodio di media gravità in atto",cat 4,F33,1,296.32
F33.2,"Disturbo depressivo ricorrente, episodio grave senza sintomi psicotici in atto",cat 4,F33,1,296.33
F33.3,"Disturbo depressivo ricorrente, episodio grave con sintomi psicotici in atto",cat 4,F33,1,296.34
F33.4,"Disturbo depressivo ricorrente, attualmente in remissione",cat 4,F33,1,296.35
F33.8,Disturbi depressivi ricorrenti di altro tipo,cat 4,F33,1,296.99
F33.9,"Disturbo depressivo ricorrente, non specificato",cat 4,F33,1,296.30
F34,Disturbi persistenti dell’umore [affettivi],cat 3,F30-F39,0,ND
F34.0,Ciclotimia,cat 4,F34,1,301.13
F34.1,Distimia,cat 4,F34,1,300.4
F34.8,Disturbi persistenti dell’umore [affettivi] di altro tipo,cat 4,F34,1,296.99
F34.9,"Disturbo persistente dell’umore [affettivo], non specificato",cat 4,F34,1,301.10
F38,Disturbi dell’umore [affettivi] di altro tipo,cat 3,F30-F39,0,ND
F38.0,Altri singoli disturbi dell’umore [affettivi],cat 4,F38,1,296.99
F38.1,Disturbi ricorrenti dell’umore [affettivi] di altro tipo,cat 4,F38,1,296.99
F38.8,Disturbi specifici dell’umore [affettivi] di altro tipo,cat 4,F38,1,296.99
F39,"Disturbo dell’umore [affettivo], non specificato",cat 3,F30-F39,1,311
F40-F48,"Disturbi nevrotici, legati a stress e somatoformi",block,V,0,ND
F40,Disturbi ansioso-fobici,cat 3,F40-F48,0,ND
F40.0,Agorafobia,cat 4,F40,1,300.22
F40.1,Fobie sociali,cat 4,F40,1,300.23
F40.2,Fobie specifiche (isolate),cat 4,F40,1,300.29
F40.8,Altri disturbi ansioso-fobici,cat 4,F40,1,300.29
F40.9,"Disturbo ansioso-fobico, non specificato",cat 4,F40,1,300.20
F41,Altri disturbi d’ansia,cat 3,F40-F48,0,ND
F41.0,Disturbo da attacchi di panico [ansia episodica parossistica],cat 4,F41,1,300.01
F41.1,Disturbo d’ansia generalizzata,cat 4,F41,1,300.02
F41.2,Disturbo misto ansioso-depressivo,cat 4,F41,1,300.09
F41.3,Altri disturbi ansiosi misti,cat 4,F41,1,300.09
F41.8,Altri disturbi ansiosi specificati,cat 4,F41,1,300.09
F41.9,"Disturbo ansioso, non specificato",cat 4,F41,1,300.00
F42,Disturbo ossessivo-compulsivo,cat 3,F40-F48,0,ND
F42.0,Pensieri o ruminazioni prevalentemente ossessive,cat 4,F42,1,300.3
F42.1,Atti prevalentemente compulsivi [rituali ossessivi],cat 4,F42,1,300.3
F42.2,Associazione di pensieri ossessivi ad atti compulsivi,cat 4,F42,1,300.3
F42.8,Altri disturbi ossessivo-compulsivi,cat 4,F42,1,300.3
F42.9,"Disturbo ossessivo-compulsivo, non specificato",cat 4,F42,1,300.3
F43,Reazione a stress grave e disturbi dell’adattamento,cat 3,F40-F48,0,ND
F43.0,Reazione acuta da stress,cat 4,F43,1,308.3
F43.1,Disturbo da stress post-traumatico,cat 4,F43,1,309.81
F43.2,Disturbi dell’adattamento,cat 4,F43,1,309.4
F43.8,Altre reazioni a stress grave,cat 4,F43,1,309.89
F43.9,"Reazione a stress grave, non specificata",cat 4,F43,1,309.9
F44,Disturbi dissociativi [di conversione],cat 3,F40-F48,0,ND
F44.0,Amnesia dissociativa,cat 4,F44,1,300.12
F44.1,Fuga dissociativa,cat 4,F44,1,300.13
F44.2,Stupor dissociativo,cat 4,F44,1,300.19
F44.3,Disturbi di trance e di possessione,cat 4,F44,1,300.13
F44.4,Disturbi dissociativi dell’attività motoria,cat 4,F44,1,300.11
F44.5,Convulsioni dissociative,cat 4,F44,1,300.11
F44.6,Anestesia e perdita sensoriale dissociative,cat 4,F44,1,300.11
F44.7,Disturbi dissociativi [di conversione] misti,cat 4,F44,1,300.11
F44.8,Altri disturbi dissociativi [di conversione],cat 4,F44,1,298.2
F44.9,"Disturbo dissociativo [di conversione], non specificato",cat 4,F44,1,300.15
F45,Disturbi somatoformi,cat 3,F40-F48,0,ND
F45.0,Disturbo da somatizzazione,cat 4,F45,1,300.81
F45.1,Disturbo somatoforme indifferenziato,cat 4,F45,1,300.82
F45.2,Disturbo ipocondriaco,cat 4,F45,1,300.7
F45.3,Disfunzione vegetativa somatoforme,cat 4,F45,0,ND
F45.31,"Disfunzione vegetativa somatoforme, respiratoria",cat 5,F45.3,1,306.1
F45.32,"Disfunzione vegetativa somatoforme, cardiovascolare",cat 5,F45.3,1,306.2
F45.34,"Disfunzione vegetativa somatoforme, gastrointestinale",cat 5,F45.3,1,306.4
F45.35,"Disfunzione vegetativa somatoforme, disuria",cat 5,F45.3,1,306.53
F45.4,Disturbo somatoforme da dolore persistente,cat 4,F45,1,307.89
F45.8,Altri disturbi somatoformi,cat 4,F45,0,ND
F45.80,"Altri disturbi somatoformi, osteomuscolari",cat 5,F45.8,1,306.0
F45.83,"Altri disturbi somatoformi, cutanei",cat 5,F45.8,1,306.3
F45.85,"Altri disturbi somatoformi, genitourinari",cat 5,F45.8,1,306.59
F45.86,"Altri disturbi somatoformi, endocrini",cat 5,F45.8,1,306.6
F45.87,"Altri disturbi somatoformi, organi di senso",cat 5,F45.8,1,306.7
F45.88,"Altri disturbi somatoformi, altro specificato",cat 5,F45.8,1,300.89
F45.9,"Disturbo somatoforme, non specificato",cat 4,F45,1,306.9
F48,Altri disturbi nevrotici,cat 3,F40-F48,0,ND
F48.0,Nevrastenia,cat 4,F48,1,300.5
