code,description
00.8,Altre procedure sul ginocchio o sull’anca
00.80,"Revisione della protesi di ginocchio, totale (tutti i componenti)"
00.81,"Revisione della protesi di ginocchio, componente tibiale"
00.82,"Revisione della protesi di ginocchio, componente femorale"
00.83,"Revisione della protesi di ginocchio, componente patellare"
00.84,"Revisione della protesi di ginocchio, inserto tibiale"
00.85,"Rivestimento totale dell’anca, acetabolo e testa del femore"
00.86,"Rivestimento dell’anca, parziale, testa del femore"
00.87,"Rivestimento dell’anca, parziale, acetabolo"
00.9,Altre procedure ed interventi
00.91,"Trapianto da donatore parente, vivente"
00.92,"Trapianto da donatore non-parente, vivente"
00.93,Trapianto da cadavere
01,"Incisioni ed asportazioni di patologia del cranio, del cervello e delle meningi cerebrali"
01.0,Puntura transcranica (trapanazione del cranio)
01.01,Puntura delle cisterne
01.02,Puntura ventricolare mediante catetere già impiantato
01.09,Altra puntura del cranio
01.1,"Procedure diagnostiche sul cranio, sul cervello e sulle meningi cerebrali"
01.11,Biopsia [percutanea] [agobiopsia] delle meningi cerebrali
01.12,Biopsia a cielo aperto delle meningi cerebrali
01.13,Biopsia [percutanea] [agobiopsia] di lesione cerebrale
01.14,Biopsia a cielo aperto di lesione cerebrale
01.15,Biopsia delle ossa craniche
01.18,Altre procedure diagnostiche sul cervello e sulle meningi cerebrali
01.19,Altre procedure diagnostiche sul cranio
01.2,Craniotomia e craniectomia
01.21,Incisione e drenaggio dei seni cranici
01.22,Rimozione di elettrodo/i di neurostimolatore intracranico
01.23,Riapertura di pregressa craniotomia
01.24,Altra craniotomia
01.25,Altra craniectomia
01.26,Inserzione di catetere/i nella cavità o tessuto del cranio
01.27,Rimozione di catetere/i dalla cavità o tessuto del cranio
01.28,Posizionamento di catetere/i intracerebrale attraverso foro circolare
01.3,Incisione cerebrale e delle meningi
01.31,Incisione delle meningi cerebrali
01.32,Lobotomia e trattotomia
01.39,Altre incisioni cerebrali
01.4,Interventi sul talamo e sul globo pallido
01.41,Interventi sul talamo
01.42,Interventi sul globo pallido
01.5,Altre asportazioni o altri interventi di demolizione sul cervello e sulle meningi cerebrali
01.51,Asportazione di lesione o di tessuto delle meningi cerebrali
01.52,Emisferectomia
01.53,Lobectomia cerebrale (per lesione organica)
01.59,Altra asportazione o demolizione di lesione o tessuto cerebrale
01.6,Asportazione di lesioni del cranio
02,"Altri interventi sul cranio, sul cervello e sulle meningi cerebrali"
02.0,Cranioplastica
02.01,Apertura di suture del cranio
02.02,Riposizionamento di frammenti di frattura affossata del cranio
02.03,Formazione di lembi cranici
02.04,Innesto osseo sul cranio
02.05,Inserzione di placca cranica Sostituzione di placca del cranio
02.06,Altri tipi di osteoplastica del cranio
02.07,Rimozione di placca del cranio
02.1,Trattamento di lesione delle meningi cerebrali
02.11,Sutura semplice della dura madre
02.12,Altra riparazione delle meningi cerebrali
02.13,Legatura dei vasi delle meningi: del seno longitudinale dell’arteria meningea mediale
02.14,Plessectomia coroidea
02.2,Ventricolostomia
02.3,Anastomosi ventricolare extracranico
02.31,Anastomosi fra ventricolo e strutture della testa e del collo
02.32,Anastomosi fra ventricolo e sistema circolatorio
02.33,Anastomosi fra ventricolo e cavità toracica
02.34,"Anastomosi fra ventricolo, cavità addominale e suoi organi"
02.35,Anastomosi fra ventricolo ed apparato urinario
02.39,Altri interventi per il drenaggio ventricolare
02.4,"Revisione, rimozione e irrigazione di anastomosi ventricolare"
02.41,Irrigazione ed esplorazione di anastomosi ventricolare
02.42,Sostituzione di anastomosi ventricolare
02.43,Rimozione di anastomosi ventricolare
02.9,"Altri interventi su cranio, cervello e meningi cerebrali"
02.91,Separazione di aderenze corticali
02.92,Interventi riparativi del cervello
02.93,Impianto o sostituzione di elettrodo/i del neurostimolatore intracranico
02.94,Applicazione o sostituzione di trazione transcranica o dispositivo di halo
02.95,Rimozione di trazione transcranica o dispositivo di halo
02.96,Applicazione di elettrodi sfenoidali
02.99,"Altri interventi sul cranio, sul cervello e sulle meningi"
03,Interventi sul midollo spinale e sulle strutture del canale vertebrale
03.0,Esplorazione e decompressione di strutture del canale vertebrale
03.01,Rimozione di corpo estraneo dal canale vertebrale
03.02,Riapertura di pregressa laminectomia
03.09,Altra esplorazione e decompressione del canale vertebrale
03.1,Sezione delle radici dei nervi intraspinali
03.2,Cordotomia
03.21,Cordotomia percutanea
03.29,Altra cordotomia
03.3,Procedure diagnostiche sul midollo spinale e sulle strutture del canale vertebrale
03.31,Rachicentesi
03.32,Biopsia di lesione spinale
03.39,Altre procedure diagnostiche sul midollo spinale e sulle strutture del canale vertebrale
03.4,Asportazione o demolizione di lesione del midollo o delle meningi spinali
03.5,Interventi di plastica sulle strutture del midollo
03.51,Riparazione di meningocele spinale
03.52,Riparazione di mielomeningocele spinale
03.53,Riparazione di fratture vertebrali
03.59,Altri interventi di riparazione e di plastica sul midollo spinale
03.6,Separazione di aderenze del midollo spinale e delle radici dei nervi
03.7,Anastomosi spinale
03.71,Anastomosi spinale subaracnoideoperitoneale
03.72,Anastomosi spinale subaracnoideo ureterale
03.79,Altro anastomosi spinale
03.8,Iniezione di farmaci citotossici nel canale vertebrale
03.9,Altri interventi sul midollo e sulle strutture del canale vertebrale
03.90,Inserzione di catetere nel canale vertebrale per infusione di sostanze terapeutiche o palliative
03.91,Iniezione di anestetico nel canale vertebrale per analgesia
03.92,Iniezione di altri farmaci nel canale vertebrale
03.93,Impianto o sostituzione di elettrodo/i di neurostimolatore spinale
03.94,Rimozione di elettrodo/i del neurostimolatore spinale
03.95,Spinal blood patch
03.96,Denervazione percutanea della faccetta articolare
03.97,Revisione di anastomosi spinale
03.98,Rimozione di anastomosi spinale
03.99,Altri interventi sul midollo spinale e sulle strutture del canale vertebrale
04,Interventi sui nervi cranici e periferici
04.0,"Incisione, sezione ed asportazione dei nervi cranici e periferici"
04.01,Asportazione di neuroma acustico
04.02,Sezione del nervo trigemino
04.03,Sezione o schiacciamento di altri nervi cranici e periferici
04.04,Altra incisione dei nervi cranici e periferici
04.05,Gangliectomia del ganglio di Gasser
04.06,Altre gangliectomie di nervi cranici o periferici
04.07,Altra resezione o asportazione dei nervi cranici e periferici
04.1,Procedure diagnostiche sul sistema nervoso periferico
04.11,Biopsia [percutanea] [agobiopsia] dei nervi cranici o periferici o dei gangli
04.12,Biopsia a cielo aperto dei nervi cranici o periferici o dei gangli
04.19,Altre procedure diagnostiche sui nervi cranici o periferici o sui gangli
04.2,Demolizione di nervi cranici e periferici
04.3,Suture dei nervi cranici e periferici
04.4,Separazione di aderenze e decompressione dei nervi cranici e periferici
04.41,Decompressione delle radici del trigemino
04.42,Altra decompressione di nervi cranici
04.43,Liberazione del tunnel carpale
04.44,Liberazione del tunnel tarsale
04.49,"Altre decompressioni dei nervi periferici e dei gangli, o separazione di aderenze"
04.5,Innesto di nervi cranici o periferici
04.6,Trasposizione di nervi cranici e periferici
04.7,Altra neuroplastica cranica o periferica
04.71,Anastomosi ipoglosso-faciale
04.72,Anastomosi accessorio-faciale
04.73,Anastomosi accessorio-ipoglosso
04.74,Altre anastomosi di nervi cranici e periferici
04.75,Revisione di pregressa ricostruzione di nervi cranici e periferici
04.76,Riparazione di lesioni traumatiche di vecchia data di nervi cranici e periferici
04.79,Altra neuroplastica
04.8,Iniezione nei nervi periferici
04.80,"Iniezione in nervo periferico, SAI"
04.81,Iniezione di anestetico in nervo periferico per analgesia
04.89,"Iniezione di altre sostanze, esclusi i neurolitici"
04.9,Altri interventi sui nervi cranici e periferici
04.91,Stiramento di nervo (neurectasia)
04.92,Impianto o sostituzione di eletrtrodo/i del neurostimolatore dei nervi periferici
04.93,Rimozione di elettrodo/i del neurostimolatore dei nervi periferici
04.99,Altri interventi sui nervi cranici e periferici
05,Interventi sui nervi o sui gangli simpatici
05.0,Sezione di nervo o ganglio simpatico
05.1,Procedure diagnostiche sui nervi o sui gangli simpatici
05.11,Biopsia di nervi o di gangli simpatici
05.19,Altre procedure diagnostiche sui nervi o sui gangli simpatici
05.2,Simpatectomia
05.21,Gangliectomia sfenopalatina
05.22,Simpatectomia cervicale
05.23,Simpatectomia lombare
05.24,Simpatectomia presacrale
05.25,Simpatectomia periarteriosa
05.29,Altre simpatectomie e gangliectomie
05.3,Iniezione in nervi o gangli simpatici
05.31,Iniezione di anestetico nei nervi simpatici per analgesia
05.32,Iniezione di agenti neurolitici nei nervi simpatici
05.39,Altra iniezione in nervi o gangli simpatici
05.8,Altri interventi su nervi o su gangli simpatici
05.81,Riparazione di nervi o gangli simpatici
05.89,Altri interventi su nervi simpatici
05.9,Altri interventi sul sistema nervoso
06,Interventi sulla tiroide e sulle paratiroidi
06.0,Incisione della regione tiroidea
06.01,Aspirazione nella regione tiroidea
06.02,Riapertura di ferita della regione tiroidea
06.09,Altra incisione della regione tiroidea
06.1,Procedure diagnostiche sulla tiroide e sulle paratiroidi
06.11,Biopsia [percutanea] [agobiopsia] della tiroide
06.12,Biopsia a cielo aperto della tiroide
06.13,Biopsia delle paratiroidi
06.19,Altra procedura diagnostica sulla tiroide o sulle paratiroidi
06.2,Lobectomia monolaterale della tiroide
06.3,Altra tiroidectomia parziale
06.31,Asportazione di lesione della tiroide
06.39,Altra tiroidectomia parziale
06.4,Tiroidectomia completa
06.5,Tiroidectomia retrosternale
06.50,"Tiroidectomia retrosternale, SAI"
06.51,Tiroidectomia retrosternale parziale
06.52,Tiroidectomia retrosternale completa
06.6,Asportazione di tiroide linguale
06.7,Asportazione del tratto o dotto tireoglosso
06.8,Paratiroidectomia
06.81,Paratiroidectomia completa
06.89,Altra paratiroidectomia
06.9,Altri interventi sulle regioni tiroidea e paratiroidea
06.91,Sezione dell’istmo tiroideo
06.92,Legatura dei vasi tiroidei
06.93,Sutura della tiroide
06.94,Reimpianto di tessuto tiroideo
06.95,Reimpianto di tessuto paratiroideo
06.98,Altri interventi sulla tiroide
06.99,Altri interventi sulle paratiroidi
07,Interventi su altre ghiandole endocrine
07.0,Esplorazione della regione surrenalica
07.00,Esplorazione della regione surrenalica non altrimenti specificata
07.01,Esplorazione unilaterale della regione surrenalica
07.02,Esplorazione bilaterale della regione surrenalica
07.1,"Procedure diagnostiche sulle ghiandole surrenali, ipofisi, ghiandola pineale e timo"
07.11,Biopsia [percutanea] [agobiopsia] delle ghiandole surrenali
07.12,Biopsia a cielo aperto delle ghiandole surrenali
07.13,Biopsia dell’ipofisi per via trans-frontale
07.14,Biopsia dell’ipofisi per via trans-sfenoidale
07.15,Biopsia dell’ipofisi per via non specificata
07.16,Biopsia del timo
07.17,Biopsia della ghiandola pineale
07.19,"Altre procedure diagnostiche sulle ghiandole surrenali, ipofisi, ghiandola pineale e timo"
07.2,Surrenectomia parziale
07.21,Asportazione di lesione delle ghiandole surrenali
07.22,Surrenectomia monolaterale
07.29,Altra surrenectomia parziale
07.3,Surrenectomia bilaterale
07.4,"Altri interventi su nervi, vasi e ghiandole surrenali"
07.41,Incisione delle ghiandole surrenali
07.42,Sezione di nervi afferenti alle ghiandole surrenaliche
07.43,Legatura di vasi delle ghiandole surrenali
07.44,Riparazione delle ghiandole surrenali
07.45,Reimpianto delle ghiandole surrenali
07.49,"Altri interventi su nervi, vasi e ghiandole surrenali"
07.5,Interventi sulla ghiandola pineale
07.51,Esplorazione della regione pineale
07.52,Incisione della ghiandola pineale
07.53,Asportazione parziale della ghiandola pineale
07.54,Asportazione della ghiandola pineale
07.59,Altri interventi sulla ghiandola pineale
07.6,Ipofisectomia
07.61,"Asportazione parziale dell’ipofisi, per via trans-frontale"
07.62,"Asportazione parziale dell’ipofisi, per via trans-sfenoidale"
07.63,"Asportazione parziale dell’ipofisi, per via non specificata"
07.64,Asportazione totale dell’ipofisi per via trans-frontale
07.65,Asportazione totale dell’ipofisi per via trans-sfenoidale
07.68,"Asportazione totale dell’ipofisi, per altra via specificata"
07.69,Asportazione totale dell’ipofisi per via non specificata
07.7,Altri interventi sull’ipofisi
07.71,Esplorazione della fossa dell’ipofisi
07.72,Incisione dell’ipofisi
07.79,Altri interventi sull’ipofisi
07.8,Timectomia
07.80,"Timectomia, SAI"
07.81,Asportazione parziale del timo
07.82,Asportazione totale del timo
07.9,Altri interventi sul timo
07.91,Esplorazione dell’area timica
07.92,Incisione del timo
07.93,Riparazione del timo
07.94,Trapianto del timo
07.99,Altri interventi sul timo
08,Interventi sulla palpebra
08.0,Incisione della palpebra
08.01,Incisione del margine palpebrale
08.02,Apertura di blefarorrafia
08.09,Altra incisione della palpebra
08.1,Procedure diagnostiche sulla palpebra
08.11,Biopsia della palpebra
08.19,Altre procedure diagnostiche sulla palpebra
08.2,Escissione o demolizione di lesione o tessuto della palpebra
08.20,"Rimozione di lesione della palpebra, SAI"
08.21,Asportazione di calazio
08.22,Asportazione di altra piccola lesione della palpebra
08.23,Asportazione di lesione estesa della palpebra non a tutto spessore
08.24,"Asportazione di lesione estesa della palpebra, a tutto spessore"
08.25,Demolizione di lesione palpebrale
08.3,Correzione di blefaroptosi e retrazione palpebrale
08.31,"Correzione di blefaroptosi con intervento sui muscoli frontali, con sutura"
08.32,Correzione di blefaroptosi con anastomosi del muscolo frontale mediante fascia lata
08.33,Correzione di blefaroptosi con resezione o avanzamento del muscolo elevatore o sua aponeurosi
08.34,Correzione di blefaroptosi con altre tecniche che utilizzano il muscolo elevatore
08.35,Correzione di blefaroptosi con tecnica tarsale
08.36,Correzione di blefaroptosi con altre tecniche
08.37,Riduzione di sovracorrezione di blefaroptosi
08.38,Correzione di retrazione della palpebra
08.4,Riparazione di entropion o ectropion
08.41,Riparazione di entropion o ectropion con termocoagulazione
08.42,Riparazione di entropion o ectropion con tecnica di sutura
08.43,Riparazione di entropion o ectropion con resezione cuneiforme
08.44,Riparazione di entropion o ectropion con ricostruzione della palpebra
08.49,Altra riparazione di entropion o ectropion
08.5,Altra correzione della posizione della palpebra
08.51,Cantotomia
08.52,Blefarorrafia
08.59,Altra correzione della posizione della palpebra
08.6,Ricostruzione della palpebra con lembo o innesto
08.61,Ricostruzione della palpebra con lembo o innesto cutaneo
08.62,Ricostruzione della palpebra con innesto o lembo di mucosa
08.63,Ricostruzione della palpebra con innesto del follicolo pilifero
08.64,Ricostruzione della palpebra con lembo tarsocongiuntivale
08.69,Altra ricostruzione della palpebra con lembo o innesto (Innesto composto)
08.7,Altra ricostruzione della palpebra
08.70,"Ricostruzione della palpebra, SAI"
08.71,"Ricostruzione della palpebra interessante il margine palpebrale, non a tutto spessore"
08.72,"Altra ricostruzione della palpebra, non a tutto spessore"
08.73,"Ricostruzione della palpebra interessante il margine palpebrale, a tutto spessore"
08.74,"Altra ricostruzione della palpebra, a tutto spessore"
08.8,Altra riparazione della palpebra
08.81,Riparazione lineare di lacerazione della palpebra e delle sopracciglia
08.82,"Riparazione di lacerazione della palpebra interessante il margine palpebrale, non a tutto spessore"
08.83,"Altra riparazione di lacerazione della palpebra, non a tutto spessore"
08.84,"Riparazione di lacerazione della palpebra interessante il margine palpebrale, a tutto spessore"
08.85,"Altra ricostruzione di lacerazione della palpebra, a tutto spessore"
08.86,Plastica anti-rughe della palpebra inferiore
08.87,Plastica anti-rughe della palpebra superiore
08.89,Altra riparazione della palpebra
08.9,Altri interventi sulle palpebre
08.91,Depilazione elettrochirurgica della palpebra
08.92,Depilazione criochirurgica della palpebra
08.93,Altra depilazione della palpebra
08.99,Altri interventi sulla palpebra
09,Interventi sull’apparato lacrimale
09.0,Incisione della ghiandola lacrimale
09.1,Procedure diagnostiche sull’apparato lacrimale
09.11,Biopsia della ghiandola lacrimale
09.12,Biopsia del sacco lacrimale
09.19,Altre procedure diagnostiche sull’apparato lacrimale
09.2,Asportazione di lesione o tessuto della ghiandola lacrimale
09.20,"Asportazione della ghiandola lacrimale, SAI"
09.21,Asportazione di lesione della ghiandola lacrimale
09.22,Altra dacrioadenectomia parziale
09.23,Dacrioadenectomia totale
09.3,Altri interventi sulla ghiandola lacrimale
09.4,Interventi sulle vie lacrimali
09.41,Specillazione del punto lacrimale
09.42,Specillazione dei canalicoli lacrimali
09.43,Specillazione del dotto naso-lacrimale
09.44,Intubazione del dotto naso-lacrimale
09.49,Altre manipolazioni delle vie lacrimali
09.5,Incisione del sacco e delle vie lacrimali
09.51,Incisione del punto lacrimale
09.52,Incisione dei canalicoli lacrimali
09.53,Incisione del sacco lacrimale
09.59,Altra incisione delle vie lacrimali
09.6,Asportazione del sacco e delle vie lacrimali
09.7,Riparazione dei canalicoli e del punto lacrimale
09.71,Correzione di eversione del punto lacrimale
09.72,Altra riparazione del punto lacrimale
09.73,Riparazione dei canalicoli
09.8,Fistolizzazione del tratto lacrimale verso la cavità nasale
09.81,Dacriocistorinostomia (DCR)
09.82,Congiuntivocistorinostomia
09.83,Congiuntivorinostomia con inserzione di tubo o supporto
09.9,Altri interventi sull’apparato lacrimale
09.91,Obliterazione del punto lacrimale
09.99,Altri interventi sull’apparato lacrimale
10,Interventi sulla congiuntiva
10.0,Rimozione di corpo estraneo infisso nella congiuntiva con incisione
10.1,Altra incisione della congiuntiva
10.2,Procedure diagnostiche sulla congiuntiva
10.21,Biopsia della congiuntiva
10.29,Altre procedure diagnostiche sulla congiuntiva
10.3,Asportazione o demolizione di lesione o tessuto della congiuntiva
10.31,Asportazione di lesione o tessuto della congiuntiva
10.32,Demolizione di lesione della congiuntiva
10.33,Altri interventi di demolizione sulla congiuntiva
10.4,Congiuntivoplastica
10.41,Riparazione di simblefaron con innesto libero
10.42,Ricostruzione di cul de sac congiuntivale con innesto libero
10.43,Altra ricostruzione di cul de sac congiuntivale
10.44,Altro innesto libero alla congiuntiva
10.49,Altra congiuntivoplastica
10.5,Lisi di aderenze della congiuntiva e della palpebra
10.6,Riparazione di lacerazione della congiuntiva
10.9,Altri interventi sulla congiuntiva
10.91,Iniezione sottocongiuntivale
10.99,Altri interventi sulla congiuntiva
11,Interventi sulla cornea
11.0,Rimozione di corpo estraneo dalla cornea con impiego di magnete
11.1,Incisione della cornea
11.2,Procedure diagnostiche sulla cornea
11.21,Curettage della cornea per striscio o coltura
11.22,Biopsia della cornea
11.29,Altra procedura diagnostica sulla cornea
11.3,Asportazione dello pterigium
11.31,Trasposizione dello pterigium
11.32,Asportazione dello pterigium con innesto della cornea
11.39,Altra asportazione dello pterigium
11.4,Asportazione o demolizione di tessuto o altra lesione della cornea
11.41,Rimozione meccanica dell’epitelio corneale
11.42,Termocauterizzazione di lesione della cornea
11.43,Crioterapia di lesione della cornea
11.49,Altra rimozione o demolizione di lesione della cornea
11.5,Riparazione della cornea
11.51,Sutura di ferita corneale
11.52,Riparazione di ferita chirurgica deiscente della cornea
11.53,Riparazione di lacerazione o ferita della cornea con lembo congiuntivale
11.59,Altra riparazione della cornea
11.6,Trapianto di cornea
11.60,"Trapianto di cornea, non altrimenti specificato"
11.61,Cheratoplastica lamellare autologa
11.62,Altra cheratoplastica lamellare
11.63,Cheratoplastica perforante autologa (a tutto spessore)
11.64,Altra cheratoplastica perforante omologa
11.69,Altro trapianto della cornea
11.7,Altri interventi di ricostruzione della cornea
11.71,Cheratomileusi
11.72,Cheratofachia
11.73,Cheratoprotesi
11.74,Termocheratoplastica
11.75,Cheratotomia radiale
11.76,"Epicheratofachia (lembo fresco, lembo conservato)"
11.79,Altri interventi rifrattivi sulla cornea
11.9,Altri interventi sulla cornea
11.91,Tatuaggio della cornea
11.92,Rimozione di impianto artificiale dalla cornea
11.99,Altri interventi sulla cornea
12,"Interventi sull’iride, sul corpo ciliare, sulla sclera, sulla camera anteriore"
12.0,Rimozione di corpo estraneo intraoculare dal segmento anteriore dell’occhio
12.00,"Rimozione di corpo estraneo intraoculare dal segmento anteriore dell’occhio, SAI"
12.01,Rimozione di corpo estraneo intraoculare dal segmento anteriore dell’occhio con impiego di magnete
12.02,Rimozione di corpo estraneo intraoculare dal segmento anteriore dell’occhio senza impiego di magnete
12.1,Iridotomia ed iridectomia semplice
12.11,Iridotomia mediante trasfissione
12.12,Altra iridotomia
12.13,Escissione di iride prolassata
12.14,Altra iridectomia
12.2,"Procedure diagnostiche sull’iride, sul corpo ciliare, sulla sclera e sulla camera anteriore"
12.21,Aspirazione diagnostica della camera anteriore dell’occhio
12.22,Biopsia dell’iride
12.29,"Altra procedura diagnostica sull’iride, sul corpo ciliare, sulla sclera e sulla camera anteriore"
12.3,Iridoplastica e coreoplastica
12.31,Lisi di goniosinechie
12.32,Lisi di altre sinechie anteriori
12.33,Lisi di sinechie posteriori
12.34,Lisi di aderenze corneovitreali
12.35,Coreoplastica
12.39,Altra iridoplastica
12.4,Asportazione o demolizione di lesione dell’iride e del corpo ciliare
12.40,"Rimozione di lesione del segmento anteriore dell’occhio, SAI"
12.41,"Demolizione di lesione dell’iride, non escissionale"
12.42,Asportazione di lesione dell’iride
12.43,Demolizione di lesione del corpo ciliare non escissionale
12.44,Asportazione di lesione del corpo ciliare
12.5,Interventi per favorire la circolazione intraoculare
12.51,Goniopuntura senza goniotomia
12.52,Goniotomia senza goniopuntura
12.53,Goniotomia con goniopuntura
12.54,Trabeculotomia ab externo
12.55,Ciclodialisi
12.59,Altri interventi per facilitare la circolazione intraoculare (Trabeculoplastica mediante laser) (Goniospasi mediante laser)
12.6,Fistolizzazione sclerale
12.61,Trapanazione sclerale con iridectomia
12.62,Termocauterizzazione della sclera con iridectomia (Sclerotomia)
12.63,Iridencleisi e iridotasi
12.64,Trabeculectomia ab externo
12.65,Altra fistolizzazione sclerale con iridectomia
12.66,Revisione postoperatoria di interventi di fistolizzazione della sclera
12.69,Altri interventi di fistolizzazione della sclera
12.7,Altri interventi chirurgici per ridurre l’ipertono oculare
12.71,Ciclodiatermia
12.72,Ciclocrioterapia
12.73,Ciclofotocoagulazione
12.74,"Riduzione del corpo ciliare, SAI"
12.79,Altri interventi per glaucoma
12.8,Interventi sulla sclera
12.81,Sutura di ferita sclerale
12.82,Riparazione di fistola sclerale
12.83,Revisione di ferita operatoria del segmento anteriore dell’occhio non classificata altrove
12.84,Asportazione o demolizione di lesione della sclera
12.85,Riparazione di stafiloma della sclera con innesto
12.86,Altra riparazione di stafiloma della sclera
12.87,Rinforzo di sclera mediante innesto
12.88,Altro rinforzo della sclera
12.89,Altri interventi sulla sclera
12.9,"Altri interventi sull’iride, sul corpo ciliare e sulla camera anteriore"
12.91,Paracentesi della camera anteriore
12.92,Iniezione nella camera anteriore
12.93,Rimozione o distruzione dell’epitelio invadente la camera anteriore
12.97,Altri interventi sull’iride
12.98,Altri interventi sul corpo ciliare
12.99,Altri interventi sulla camera anteriore
13,Interventi sul cristallino
13.0,Rimozione di corpo estraneo dal cristallino
13.00,"Rimozione di corpo estraneo dal cristallino, SAI"
13.01,Rimozione di corpo estraneo dal cristallino con magnete
13.02,Rimozione di corpo estraneo dal cristallino senza magnete
13.1,Estrazione intracapsulare del cristallino
13.11,Estrazione intracapsulare del cristallino per via temporale
13.19,Altra estrazione intracapsulare del cristallino
13.2,Estrazione extracapsulare della cataratta con tecnica di estrazione lineare
13.3,Estrazione extracapsulare del cristallino con tecnica di aspirazione semplice (e di irrigazione)
13.4,Estrazione extracapsulare della cataratta con tecnica di frammentazione ed aspirazione
13.41,Facoemulsificazione ed aspirazione di cataratta
13.42,Facoframmentazione ed aspirazione di cataratta per via pars plana
13.43,Dacoframmentazione meccanica ed aspirazione della cataratta
13.5,Altra estrazione extracapsulare del cristallino
13.51,Estrazione extracapsulare del cristallino per via temporale
13.59,Altra estrazione extracapsulare del cristallino
13.6,Altra estrazione di cataratta
13.64,Capsulotomia con YAG-laser dopo estrazione di cataratta
13.65,Asportazione chirurgica di cataratta secondaria
13.66,Capsulotomia chirurgica dopo estrazione di cataratta
13.69,Altra estrazione di cataratta secondaria
13.7,Inserzione di protesi endoculare
13.70,"Inserzione di cristallino artificiale, SAI"
13.71,"Inserzione di cristallino artificiale intraoculare al momento della estrazione di cataratta, eseguiti in contemporanea"
13.72,Impianto secondario di cristallino artificiale
13.8,Rimozione di cristallino impiantato
13.9,Altri interventi sul cristallino
13.90,"Interventi sul cristallino, non classificati altrove"
13.91,Impianto di lenti telescopiche intraoculari impianto di telescopio miniaturizzato inclusa rimozione del cristallino con qualsiasi metodo
